nbits, nexp, nstr, median, nones, est_nones

16, 1000, 500, 133, 8, 7.6
16, 1000, 1000, 150, 15, 15,3
16, 1000, 1500, 153, 26, 22.9
16, 1000, 2000, 149, 35, 30.5
16, 1000, 2500, 143, 37, 38.1
16, 1000, 3000, 139, 38, 45.8
16, 1000, 3500, 131, 55, 53.4
16, 1000, 4000, 122, 59, 61.0
16, 1000, 4500, 115, 70, 68.7
16, 1000, 5000, 111, 74, 76.3
16, 1000, 5500, 108, 83, 83.9
16, 1000, 6000, 101, 99, 91.6
16, 1000, 6500,  99, 99, 99.2
16, 1000, 7000, 94, 100, 106.8
16, 1000, 8000, 84, 123, 122.1

18, 1000, 500, 205, 1, 1.9
18, 1000, 1000, 272, 4, 3.8
18, 1000, 1500, 303, 5, 5.7
18, 1000, 2000, 316, 8, 7.63
18, 1000, 3000, 334, 8, 11.4

14, 1000, 100, 45, 6, 6.1
14, 1000, 200, 62, 11, 12.2
14, 1000, 300, 68, 20, 18.3
14, 1000, 400, 71, 24, 24.4
14, 1000, 500, 73, 30, 30.5
14, 1000, 600, 72, 31, 36.6
14, 1000, 700, 71, 43, 42.7
14, 1000, 800, 69, 48, 48.8
14, 1000, 900, 67, 56, 54.9
14, 1000, 1000, 65, 60, 61.0
